  M (M_solar),  R (R_solar),Rho_c (g/cm3),<Rho> (g/cm3), Rho_c/<Rho> 
           60,        70.96,         1.93,       0.0798,         24.2
           40,        56.89,         2.49,        0.103,         24.1
           30,        48.53,         3.05,        0.125,         24.5
           20,        38.73,         4.21,        0.164,         25.7
           15,        32.89,         5.48,          0.2,         27.4
           10,        25.94,         8.33,        0.272,         30.6
            7,        20.99,         12.6,         0.36,         35.0
            5,        17.18,         19.0,        0.468,         40.6
            3,        12.76,         35.8,        0.686,         52.2
            2,         10.3,         47.0,         0.87,         54.1
         1.75,        9.695,         66.5,        0.912,         72.9
          1.5,        9.151,         76.7,         0.93,         82.5
          1.3,        8.827,         84.1,        0.898,         93.7
          1.2,        8.648,         85.7,        0.881,         97.2
          1.1,        8.032,         84.9,         1.01,         84.2
            1,        6.931,         82.2,         1.43,         57.6
           .9,        5.902,         48.5,         2.08,         23.3
          .75,        4.834,         81.5,         3.15,         25.8
           .6,        3.908,         79.1,         4.78,         16.6
           .5,        3.553,        1e+02,          5.3,         18.9
           .4,         2.64,     1.04e+02,         10.3,         10.1
           .3,        2.054,     1.07e+02,         16.4,         6.51
           .2,        1.519,      1.8e+02,         27.1,         6.64
           .1,         .805,     5.45e+02,         91.1,         5.98
          .08,          .65,     7.75e+02,     1.38e+02,          5.6
